"","Aries","Taurus","Gemini","Cancer","Leo","Virgo","Libra","Scorpio","Sagittarius","Capricorn","Aquarius","Pisces"
"Love",4,2,3,2,3,3,4,4,3,3,2,4
"Finance",4,2,3,4,4,3,3,4,4,3,2,3
"Career",2,2,3,4,4,2,3,3,4,2,3,2
