"","Aries","Taurus","Gemini","Cancer","Leo","Virgo","Libra","Scorpio","Sagittarius","Capricorn","Aquarius","Pisces"
"Love",3,4,3,4,2,4,2,4,3,1,2,5
"Finance",2,2,3,1,3,4,4,3,1,1,3,3
"Career",4,4,4,4,1,4,3,4,2,3,2,4
